11;CD0110;Conc;Fourrages déshydratés et agglomérés;Ray-Grass Italien, 1er cycle, début épiaison;91,0;0.886943376194506;0.843470948056988;27.6266615625;80.7672709927888;-29.0677509848262;6.52250060648986;2.29453330567551;1.95585196028623;0.3781776;899;71.63;105;49.5238095238095;238;508;;269;;0;12.5;25;2.7;1.62;4.3;1.72;1,0;381.782781415359;4189.33;68.84489;2444.714535862;64.918525;65;75;0;0;;;1.7;0.4;23,0;8,0;275.532781415359;7;22;78;0.1;0.05;0.1;2000;1000;100;3.75278527031781;2.146124076463;5.78163480708338;5.04280520698956;6.61428403893515;2.53313005746452;5.47672100387006;9.14741409639967;5.86372698487158;10.8361674680427;5.0545326609593;14.5068605605723;5.65263281341621;5.99272897853876;7.97466869942535;3.62378327665064;3.12;6.52250060648986;1.95585196028623;4.81984408631701;5.27110460099446;5.87213733244732;2.29453330567551;5.44408883377961;8.5864495144507;5.2900511150949;10.6792577512468;4.72476537756254;13.4698360074172;4.26662034660439;6.89934228705288;6.97720277528852;4.09591091974814;;;;;;;;;;;;;;
12;CD0120;Conc;Fourrages déshydratés et agglomérés;Ray-Grass Italien, 2e cycle, repousses de 5 semaines;91,0;0.851051974287175;0.796784444742133;42.3608810625;93.6314260447568;10.2085987152238;6.10565153704186;2.29599075122939;1.98679330322318;0.3901656;889;69.63;161;61.4906832298137;263;553;;292;;0;12.5;25;3,0;1.8;4.8;1.92;2,0;447.000172719707;4250.343;66.83889;2369.6525270577;64.918525;65;75;0;0;;;2.6;1.9;23,0;8,0;284.500172719707;7;22;78;0.1;0.05;0.1;2000;1000;100;3.75278527031781;2.146124076463;5.78163480708338;5.04280520698956;6.61428403893515;2.53313005746452;5.47672100387006;9.14741409639967;5.86372698487158;10.8361674680427;5.0545326609593;14.5068605605723;5.65263281341621;5.99272897853876;7.97466869942535;3.62378327665064;3.12;6.10565153704186;1.98679330322318;4.86114323830811;5.20548126076605;5.89955374591137;2.29599075122939;5.39235786283939;8.71188286500186;5.3359034437777;10.5890770140591;4.767085448545;13.559536529789;4.44444753939386;6.92450418079284;6.97844394717056;4.06308182119079;;;;;;;;;;;;;;
13;CD0130;Conc;Fourrages déshydratés et agglomérés;Fétuque élevée 1er cycle, début épiaison;91,0;0.788970397434855;0.728065920642054;33.9413270625;83.8457363363408;-8.43074224037622;6.64798281399708;2.13260533637979;2.52424214254614;0.4035456;874;66.63;129;61.2403100775194;269;579;;307;;0;12.5;25;2.66;1.862;3.3;1.32;1.5;460.043650980577;4141.857;63.82989;2216.2270505973;64.918525;65;75;0;0;;;2.1;2.2;23,0;8,0;328.793650980577;6;16;68;0.1;0.05;0.1;1000;1000;100;4.76042957455597;3.72779843040066;6.10285006195787;4.88434531185461;7.07352333746386;2.11689384551838;5.09087154068567;9.28335398595622;5.91697645600991;8.94258570838497;4.92565055762082;14.0231309376291;5.23543990086741;5.60718711276332;7.89962825278811;4.40933498554316;3.12;6.64798281399708;2.52424214254614;4.9081054541596;5.19095623629921;6.02565242505728;2.13260533637979;5.26226511540449;8.71020279625415;5.33766858741193;10.1936768665934;4.70378251820114;13.3806700374053;4.2284273386664;6.76645435678122;6.97102219394867;4.15817077397728;;;;;;;;;;;;;;
14;CD0140;Conc;Fourrages déshydratés et agglomérés;Fétuque élevée 2e cycle, repousses de 5 semaines;91,0;0.852107485236869;0.802245073621166;37.31645925;88.7303317313408;16.710545247905;6.60252555340792;2.12649697438769;2.55003697424805;0.3849976;873;70.63;161;65.8385093167702;256;543;;284;;0;12.5;25;4.1;2.87;4.8;1.92;2.5;429.608868371881;4172.508;67.84189;2364.1923807162;69.0961;70;75;0;0;;;2.6;1.5;23,0;8,0;267.108868371881;6;17;86;0.1;0.05;0.1;1000;1000;100;4.76042957455597;3.72779843040066;6.10285006195787;4.88434531185461;7.07352333746386;2.11689384551838;5.09087154068567;9.28335398595622;5.91697645600991;8.94258570838497;4.92565055762082;14.0231309376291;5.23543990086741;5.60718711276332;7.89962825278811;4.40933498554316;3.12;6.60252555340792;2.55003697424805;4.91651718705176;5.17992296267913;6.0349205743326;2.12649697438769;5.24896311030309;8.73014985547346;5.34505267102954;10.1639441115858;4.7080777561504;13.3880397637578;4.24841481240931;6.7643350903702;6.97093240220292;4.15662364719817;;;;;;;;;;;;;;
15;CC0010;Conc;Céréales;Orge;87.1999969482422;1.0900000333786;1.08000004291534;29;86;-23;6.61125387920594;2.05277069648774;2.04972960580245;0.194000005722046;975;81;112;65;54;215;68;65;12;600;15;19;3.90000009536743;2.90000009536743;0.800000011920929;0.400000005960464;1.29999995231628;115;4380;78;2920;71;71;91;86;89;73;75;1.5;0.11;5.6;1.2;24;9;35;17;0.100000001490116;0.100000001490116;0.100000001490116;3000;;28.31;4.2074366084216;2.5440312314903;5.28375746021682;3.81604708052173;5.5772992562123;1.85909979095181;4.01174161118539;7.53424642913908;5.38160472554864;6.55577284267569;4.59882566974891;24.9510764548164;11.545988506897;4.50097840441708;4.50097840441708;3.1311155233401;3.76647825417577;6.61125387920594;2.04972960580245;4.69357965387044;4.92510568251972;5.56584321348732;2.05277069648774;4.90421537731284;8.04853870343883;5.10592617161302;9.75621373021472;4.53589054414762;16.0121853195117;5.87939229501385;6.34584683863602;6.44940895652867;4.01772875812656;;;1.20000004768372;22.2000007629395;;1.5;12,0;55.4000015258789;5.59999990463257;;;;;
16;CC0020;Conc;Céréales;Maïs;86.3000030517578;1.24000000953674;1.25999999046326;43;94;-53;5.82335811350027;2.14460247617986;2.3242779066723;0.335999995470047;986;87;89;65;26;125;79;31;6;739;43;41;2.90000009536743;2.20000004768372;0.5;0.200000002980232;1.20000004768372;77;4450;85;3240;47;44;90;61;60;58;56;1.3;0.04;3.6;0.6;-0.899999976158142;3;24;10;0.0500000007450581;0.100000001490116;0.100000001490116;3000;;29.8;3.13588856493914;3.0197443799213;4.87804857111765;3.83275256741054;5.22648084926227;2.20673633088651;3.83275256741054;12.5435542597566;4.99419303304441;6.73635331613183;5.11033694115334;19.0476186520349;9.52380932601744;3.94889675242839;7.66550513482109;4.29732875366409;3.14960638473692;5.82335811350027;2.3242779066723;4.65599525368868;4.78676711140675;5.43035606143719;2.14460247617986;4.62507551822579;9.98661699723118;5.00006117403034;9.47835212216419;4.77961813326625;15.1137598450912;5.92959594219303;5.99768314771315;6.90341375440781;4.12564650083788;;;0.100000001490116;10.5;0.400000005960464;1.79999995231628;26.1000003814697;59.5;1.29999995231628;;;;;
17;CC0030;Conc;Céréales;Maïs extrudé;86.3000030517578;1.24000000953674;1.25999999046326;52;107;-69;5.69971839609646;2.13559463314961;2.35306104992225;0.230000004172325;986;87;89;65;26;125;79;31;6;739;43;41;2.90000009536743;2.20000004768372;0.5;0.200000002980232;1.20000004768372;77;4450;85;3240;35;30;90;75;77;66;70;1.3;0.04;3.6;0.6;-0.899999976158142;3;24;10;0.0500000007450581;0.100000001490116;0.100000001490116;3000;;29.8;3.13588856493914;3.0197443799213;4.87804857111765;3.83275256741054;5.22648084926227;2.20673633088651;3.83275256741054;12.5435542597566;4.99419303304441;6.73635331613183;5.11033694115334;19.0476186520349;9.52380932601744;3.94889675242839;7.66550513482109;4.29732875366409;3.14960638473692;5.69971839609646;2.35306104992225;4.65380138679391;4.74411630397138;5.40827004537034;2.13559463314961;4.56437051368572;10.0975153999344;4.99093073968126;9.38657863662363;4.79116833210042;15.2328687874792;6.0668727820883;5.94667534285895;6.89907798435733;4.12115974059412;;;0.100000001490116;10.5;0.400000005960464;1.79999995231628;26.1000003814697;59.5;1.29999995231628;;;;;
18;CC0040;Conc;Céréales;Maïs floconné;86.3000030517578;1.24000000953674;1.25999999046326;52;110;-74;5.75713553228692;2.13977781588204;2.33969447715405;0.187999993562698;986;87;89;65;26;125;79;31;6;739;43;41;2.90000009536743;2.20000004768372;0.5;0.200000002980232;1.20000004768372;77;4450;85;3240;35;33;90;87;86;71;75;1.3;0.04;3.6;0.6;-0.899999976158142;3;24;10;0.0500000007450581;0.100000001490116;0.100000001490116;3000;;29.8;3.13588856493914;3.0197443799213;4.87804857111765;3.83275256741054;5.22648084926227;2.20673633088651;3.83275256741054;12.5435542597566;4.99419303304441;6.73635331613183;5.11033694115334;19.0476186520349;9.52380932601744;3.94889675242839;7.66550513482109;4.29732875366409;3.14960638473692;5.75713553228692;2.33969447715405;4.65482026200118;4.76392298166294;5.41852664758371;2.13977781588204;4.59256137861244;10.0460154250813;4.99517089261916;9.42919746301859;4.78580460166531;15.1775559915416;6.00312286660582;5.97036294397192;6.90109156957437;4.12324340522663;;;0.100000001490116;10.5;0.400000005960464;1.79999995231628;26.1000003814697;59.5;1.29999995231628;;;;;
19;CC0050;Conc;Céréales;Maïs humide;67,0;1.23000001907349;1.25999999046326;24;78;-34;6.46955096667603;2.16450098300834;2.1689760201662;0.199000000953674;984;87;92;66;26;124;79;31;6;737;33;39;3.09999990463257;2.29999995231628;0.5;0.300000011920929;2.29999995231628;;4440;85;3220;71;74;90;68;60;71;74;1.3;;3.8;;;;24;;0.0500000007450581;0.100000001490116;0.100000001490116;;;;3.11457171068998;3.00333711092413;4.89432716337297;3.78198010489768;5.11679636290467;2.11345938458264;3.78198010489768;12.7919911724659;5.00556176313882;6.67408235085176;5.11679636290467;19.2436032629691;9.45494999703999;3.89321470466353;7.6751948095612;4.33815363413532;3.12499999197136;6.46955096667603;2.1689760201662;4.67089726949157;5.00090163150559;5.52355276227894;2.16450098300834;4.92992695837884;9.46890756714705;5.05203987814468;9.95233996261759;4.72171034041577;14.5363684844783;5.19056065839841;6.2507202113134;6.92890222557346;4.15322100595307;;;0.100000001490116;10.5;0.400000005960464;1.79999995231628;26.1000003814697;59.5;1.29999995231628;;;;;
20;CC0060;Conc;Céréales;Avoine décortiquée;85.6999969482422;1.1599999666214;1.16999995708466;25;83;-6;6.86564226021106;2.11472210850993;1.99634360634522;0.146999999880791;975;83;129;69;46;128;68;54;19;618;28;31;3.40000009536743;2.59999990463257;1,0;0.600000023841858;1,0;91;4500;81;3080;77;81;85;88;93;75;80;1.6;0.08;4.3;0.8;-7;3;30;37;0.00999999977648258;0.100000001490116;;;;22.35;4.60750864003914;2.38907847121596;7.59385637305865;3.83959046555634;5.80204797736153;1.96245730837637;4.18088747719955;8.10580209395228;5.6313992681111;9.55631388486383;5.37542681452194;19.5392489325673;6.8259386054335;5.46075096571832;5.20477810527151;3.92491461675273;4.56026062963976;6.86564226021106;1.99634360634522;5.03405116237087;5.00434366847765;5.65551243096675;2.11472210850993;5.04496034793764;8.23312373996015;5.1877969020042;10.4336499200889;4.77319024674576;14.520808770038;4.47485036757024;6.69725445966769;6.60940075927743;4.108005686684;;;0.200000002980232;16.6000003814697;0.200000002980232;1.20000004768372;37.0999984741211;37.5;1.5;;;;;
