21;FV0210;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 2e cycle après coupe épiaison Repousses feuillues de 8 semaines ;19.7;0.92;0.87;42;95;24;6.76;2.14;2.57;2.5;1.1;1.04;1.07;899;72;170;71;244;73;520;68;277;67;20;29;2.1;1.4;6.4;2.2;2.2;234;4358;69;2526;71;70;85;2.3;0.5;14;5.2;91;6;45;150;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.76;2.57;4.73;5.23;5.96;2.14;5.19;8.7;5.31;10.14;4.71;13.11;4.63;6.93;6.88;4.13;1;16.4;1.4;2.4;4.2;16.9;52.6
22;FV0220;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Demi-Montagne (Auvergne) 3e cycle Repousses feuillues de 7 semaines ;19.6;0.93;0.89;44;97;31;6.73;2.13;2.58;2.5;1.1;1.04;1.07;895;73;179;74;230;73;549;72;278;69;21;30;2.7;1.9;7;2.5;3.1;203;4356;70;2557;71;71;86;2.6;0.9;11;4.2;40;7;45;150;0.1;0.02;0.1;25000;30;20;5.4;3.68;5.21;5.14;6.85;2.18;5.05;9.19;5.83;9.15;4.94;13.28;6.21;6.05;7.5;4.33;3.12;6.73;2.58;4.73;5.22;5.97;2.13;5.19;8.71;5.31;10.12;4.71;13.11;4.66;6.94;6.88;4.13;1;16.2;1.4;2.4;4.2;16.8;53.2
23;FV0230;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de graminées 1er cycle Épiaison du dactyle;21;0.81;0.74;28;79;-10;7.18;2.06;2.02;2.4;1.15;0.94;1.11;920;65;118;62;307;;581;61;331;61;14;24;1.8;1.2;4.8;1.7;2.3;368;4363;62;2286;71;70;81;1.9;0.5;19;5;249;5;40;95;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.18;2.02;4.86;5.29;5.89;2.06;5.38;8.59;5.22;10.63;4.7;13.21;4.35;6.81;6.87;4.1;1;17.9;1.4;2.5;4.5;18;48.8
24;FV0240;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de graminées 1er cycle Fructification du dactyle;30;0.66;0.57;20;66;-38;7.28;2.09;1.99;2.8;0.96;1.02;0.97;930;54;75;44;375;;643;50;387;50;10;19;1.2;0.8;4.5;1.6;2.3;368;4334;52;1925;66;65;77;1.9;0.5;19;5;249;5;40;95;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.28;1.99;4.84;5.32;5.87;2.09;5.41;8.53;5.21;10.68;4.69;13.21;4.25;6.81;6.89;4.12;1;19.4;1.4;2.7;4.7;18.8;45.1
25;FV0250;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de graminées 2e cycle Repousses feuillues de 6 semaines;26;0.83;0.77;36;87;6;7.08;2.02;2.04;2.3;1.16;0.94;1.12;900;67;144;67;258;;537;61;291;59;17;27;2.1;1.4;7;2.5;3.1;186;4318;64;2324;69;68;81;2.6;0.5;11;4.2;23;7;45;150;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.08;2.04;4.89;5.26;5.91;2.02;5.34;8.66;5.23;10.58;4.72;13.22;4.46;6.8;6.85;4.09;1;17.1;1.4;2.5;4.4;17.4;50.8
26;FV0260;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de dicotylédones 1er cycle Épiaison du dactyle;18;0.82;0.75;30;81;-3;7.16;2.05;2.02;2.3;1.15;0.94;1.11;910;66;127;65;252;;532;59;287;56;15;25;2.1;1.4;7.7;2.7;2.3;368;4334;63;2304;71;71;82;1.9;0.5;19;5;249;5;40;95;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.16;2.02;4.87;5.28;5.89;2.05;5.37;8.6;5.22;10.62;4.71;13.21;4.38;6.8;6.87;4.1;1;17.6;1.4;2.5;4.4;17.8;49.5
27;FV0270;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de dicotylédones 1er cycle Fructification du dactyle;22;0.73;0.65;21;70;-34;7.28;2.09;1.99;2.5;1.06;0.97;1.04;920;60;84;50;313;;587;54;336;53;11;20;1.8;1.2;9;3.1;2.3;311;4304;57;2089;67;66;78;1.9;0.5;17;5.2;192;5;40;95;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.28;1.99;4.84;5.32;5.87;2.09;5.41;8.53;5.21;10.68;4.69;13.21;4.26;6.81;6.89;4.12;1;19.1;1.4;2.6;4.7;18.6;45.9
28;FV0280;Fourrage;FOURRAGES VERTS;Prairies Permanentes, Montagne (Alpes Nord) À base de dicotylédones 2e cycle Repousses feuillues de 6 semaines;22;0.82;0.76;37;87;9;7.07;2.01;2.05;2.4;1.14;0.94;1.11;890;67;147;68;179;;466;56;227;47;17;27;2.4;1.7;11.8;4.1;3.1;186;4278;64;2302;69;68;82;2.6;0.5;11;4.2;23;7;45;150;0.1;0.02;0.1;25000;30;20;6.06;2.34;6.02;5.17;6.68;1.85;5.31;9.12;5.61;10.69;4.98;13.55;5.87;5.72;7.25;3.78;3.12;7.07;2.05;4.89;5.26;5.91;2.01;5.33;8.66;5.23;10.57;4.72;13.22;4.47;6.8;6.85;4.08;1;17.1;1.4;2.5;4.3;17.4;51
29;FV0290;Fourrage;FOURRAGES VERTS;Graminées Fourragères, Ray-Grass D'italie, Alternatif Année de semis 1er cycle Épi à 10 cm du sol;12.3;1.04;1.04;44;99;81;7.43;2.18;2.1;2.8;0.95;0.98;0.96;839;83;228;82;207;87;498;86;249;88;30;45;3;1.8;4.3;1.7;1.4;709;4138;79;2775;79;83;94;1.8;0.2;35;7;596;6;25;60;0.06;0.08;0.1;80000;30;30;7.07;2.44;6.24;5.08;6.66;2.26;4.9;9.7;5.84;10.8;4.83;12.1;4.9;5.74;7.45;3.99;3.12;7.43;2.1;4.96;5.22;5.91;2.18;5.14;8.91;5.33;10.59;4.67;12.73;4.15;6.82;6.89;4.11;1;15.8;1.4;1.5;2.5;13.1;61.5
30;FV0300;Fourrage;FOURRAGES VERTS;Graminées Fourragères, Ray-Grass D'italie, Alternatif Année de semis 1er cycle Début épiaison;12.1;0.92;0.89;39;91;67;7.44;2.18;2.09;2.5;1.06;1.03;1.05;844;76;206;77;244;78;536;76;283;75;29;44;2.7;1.6;4.3;1.7;1.2;567;4122;73;2513;79;82;90;1.8;0.2;30;7.5;454;6;25;60;0.06;0.08;0.1;80000;30;30;7.07;2.44;6.24;5.08;6.66;2.26;4.9;9.7;5.84;10.8;4.83;12.1;4.9;5.74;7.45;3.99;3.12;7.44;2.09;4.94;5.23;5.91;2.18;5.16;8.88;5.32;10.6;4.67;12.75;4.13;6.82;6.89;4.11;1;16;1.4;1.6;2.5;13.4;60.9
